control_id,standard,statement_verbatim,source_pdf,rev3_equivalent_id,rev3_statement_verbatim,lliam_owner,evidence_artifact,cross_mappings,current_state,notes
SP800-171_3.1.1,SP 800-171 Rev. 2,"3.1.1      Limit system access to authorized users, processes acting on behalf of authorized users, and
  devices (including other systems).

  DISCUSSION
  Access control policies (e.g., identity- or role-based policies, control matrices, and cryptography)
  control access between active entities or subjects (i.e., users or processes acting on behalf of users)
  and passive entities or objects (e.g., devices, files, records, and domains) in systems. Access
  enforcement mechanisms can be employed at the application and service level to provide
  increased information security. Other systems include systems internal and external to the
  organization. This requirement focuses on account management for systems and applications. The
  definition of and enforcement of access authorizations, other than those determined by account
  type (e.g., privileged verses non-privileged) are addressed in requirement 3.1.2.",NIST_SP_800-171_r2.pdf,03.01.01,"03.01.01 Account Management
  a. Define the types of system accounts allowed and prohibited.
  b. Create, enable, modify, disable, and remove system accounts in accordance with
  policy, procedures, prerequisites, and criteria.
  c. Specify:
  1. Authorized users of the system,
  2. Group and role membership, and
  3. Access authorizations (i.e., privileges) for each account.
  d. Authorize access to the system based on:
  1. A valid access authorization and
  2. Intended system usage.
  e. Monitor the use of system accounts.

  6

NIST SP 800-171r3                                          Protecting Controlled Unclassified Information
May 2024

  f. Disable system accounts when:
  1. The accounts have expired,
  2. The accounts have been inactive for [Assignment: organization-defined time
  period],
  3. The accounts are no longer associated with a user or individual,
  4. The accounts are in violation of organizational policy, or
  5. Significant risks associated with individuals are discovered.
  g. Notify account managers and designated personnel or roles within:
  1. [Assignment: organization-defined time period] when accounts are no longer
  required.
  2. [Assignment: organization-defined time period] when users are terminated
  or transferred.
  3. [Assignment: organization-defined time period] when system usage or the
  need-to-know changes for an individual.
  h. Require that users log out of the system after [Assignment: organization-defined
  time period] of expected inactivity or when [Assignment: organization-defined
  circumstances].

  DISCUSSION
  This requirement focuses on account management for systems and applications. The
  definition and enforcement of access authorizations other than those determined by
  account type (e.g., privileged access, non-privileged access) are addressed in
  03.01.02. System account types include individual, group, temporary, system, guest,
  anonymous, emergency, developer, and service. Users who require administra",lliam_gov/security/principal.py + gateway allowlists,evidence/audit/principal-binding-test.txt,ISO 27001 A.8.5; ISO 42001 A.3.2,evidence_captured,"AI-218 principal binding (euid-based) + production root refusal. Test: tests/lliam_gov/test_principal.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.1.2,SP 800-171 Rev. 2,"3.1.2      Limit system access to the types of transactions and functions that authorized users are
  permitted to execute.

  CHAPTER THREE                                                                                            PAGE 10

  DISCUSSION
  Organizations may choose to define access privileges or other attributes by account, by type of
  account, or a combination of both. System account types include individual, shared, group, system,
  anonymous, guest, emergency, developer, manufacturer, vendor, and temporary. Other attributes
  required for authorizing access include restrictions on time-of-day, day-of-week, and point-of-
  origin. In defining other account attributes, organizations consider system-related requirements
  (e.g., system upgrades scheduled maintenance,) and mission or business requirements, (e.g., time
  zone differences, customer requirements, remote access to support travel requirements).

  Derived Security Requirements",NIST_SP_800-171_r2.pdf,03.01.02,"03.01.02 Access Enforcement
  Enforce approved authorizations for logical access to CUI and system resources in
  accordance with applicable access control policies.

  DISCUSSION
  Access control policies control access between active entities or subjects (i.e., users
  or system processes acting on behalf of users) and passive entities or objects (i.e.,
  devices, files, records, domains) in organizational systems. Types of system access
  include remote access and access to systems that communicate through external
  networks, such as the internet. Access enforcement mechanisms can also be
  employed at the application and service levels to provide increased protection for
  CUI. This recognizes that the system can host many applications and services in
  support of mission and business functions. Access control policies are defined in
  03.15.01.

  REFERENCES
  Source Control: AC-03
  Supporting Publications: SP 800-46 [14], SP 800-57-1 [15], SP 800-57-2 [16], SP 800-
  57-3 [17], SP 800-77 [18], SP 800-113 [19], SP 800-114 [20], SP 800-121 [21], SP 800-
  162 [22], SP 800-178 [23], SP 800-192 [24], IR 7874 [25], IR 7966 [26]",lliam_gov/security/capabilities.py,evidence/audit/capability-dispatch-test.txt,ISO 27001 A.8.5,evidence_captured,"AI-219 capability-tagged dispatch; governed baseline + unclassified deny. Test: tests/lliam_gov/test_capabilities.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.1.13,SP 800-171 Rev. 2,"3.1.13   Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.

This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-171r2
  DISCUSSION
  Cryptographic standards include FIPS-validated cryptography and NSA-approved cryptography.
  See [NIST CRYPTO]; [NIST CAVP]; [NIST CMVP]; National Security Agency Cryptographic Standards.",NIST_SP_800-171_r2.pdf,03.01.13 (WITHDRAWN — moved to SC family in r3),,lliam_gov/security/egress.py,evidence/audit/egress-policy-test.txt,ISO 27001 A.8.24,evidence_captured,"AI-220 egress allowlist (controlled external connections). Test: tests/lliam_gov/test_egress.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.1.20,SP 800-171 Rev. 2,"3.1.20   Verify and control/limit connections to and use of external systems.

  DISCUSSION
  External systems are systems or components of systems for which organizations typically have no
  direct supervision and authority over the application of security requirements and controls or the
  determination of the effectiveness of implemented controls on those systems. External systems
  include personally owned systems, components, or devices and privately-owned computing and
  communications devices resident in commercial or public facilities. This requirement also
  addresses the use of external systems for the processing, storage, or transmission of CUI, including
  accessing cloud services (e.g., infrastructure as a service, platform as a service, or software as a
  service) from organizational systems.
  Organizations establish terms and conditions for the use of external systems in accordance with
  organizational security policies and procedures. Terms and conditions address as a minimum, the
  types of applications that can be accessed on organizational systems from external systems. If

  23 Mobile devices and computing platforms include, for example, smartphones and tablets.

  CHAPTER THREE                                                                                         PAGE 15

  terms and conditions with the owners of external systems cannot be established, organizations
  may impose restrictions on organizational personnel using those external systems.
  This requirement recognizes that there are circumstances where individuals using external systems
  (e.g., contractors, coalition partners) need to access organizational systems. In those situations,
  organizations need confidence that the external systems contain the necessary controls so as not
  to compromise, damage, or otherwise harm organizational systems. Verification that the required
  controls have been effectively implemented can be achieved by third-party, independent
  assessments, attestations, or other means, depending on the assurance or confidence level
  required by organizations.
  Note that while “external” typically refers to outside of the organization’s direct supervision and
  authority, that is not always the case. Regarding the protection of CUI across an organization, the
  organization may have systems that process CUI and others that do not. And among the systems
  that process CUI there are likely access restrictions for CUI that apply between systems. Therefore,

This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-171r2
  from the perspective of a given system, other systems within the organization may be considered
  “external"" to that system.",NIST_SP_800-171_r2.pdf,03.01.20,"03.01.20 Use of External Systems
  a. Prohibit the use of external systems unless the systems are specifically
  authorized.
  b. Establish the following security requirements to be satisfied on external systems
  prior to allowing use of or access to those systems by authorized individuals:
  [Assignment: organization-defined security requirements].
  c. Permit authorized individuals to use external systems to access the
  organizational system or to process, store, or transmit CUI only after:

  17

NIST SP 800-171r3                                          Protecting Controlled Unclassified Information
May 2024

  1. Verifying that the security requirements on the external systems as specified
  in the organization’s system security plans have been satisfied and
  2. Retaining approved system connection or processing agreements with the
  organizational entities hosting the external systems.
  d. Restrict the use of organization-controlled portable storage devices by
  authorized individuals on external systems.

  DISCUSSION
  External systems are systems that are used by but are not part of the organization.
  These systems include personally owned systems, system components, or devices;
  privately owned computing and communication devices in commercial or public
  facilities; systems owned or controlled by nonfederal organizations; and systems
  managed by contractors. Organizations have the option to prohibit the use of any
  type of external system or specified types of external systems (e.g., prohibit the use
  of external systems that are not organizationally owned). Terms and conditions are
  consistent with the trust relationships established with the entities that own,
  operate, or maintain external systems and include descriptions of shared
  responsibilities.

  Authorized individuals include organizational personnel, contractors, or other
  individuals with authorized access to the organizational system and over whom
  organizations have the author",lliam_gov/security/egress.py,evidence/audit/egress-policy-test.txt,ISO 27001 A.8.20-A.8.23,evidence_captured,"AI-220 egress allowlist + connection control. Test: tests/lliam_gov/test_egress.py. Flipped in LG-5.2 crosswalk (AI-226) with committed code+test+evidence. | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.3.1,SP 800-171 Rev. 2,"3.3.1   Create and retain system audit logs and records to the extent needed to enable the
  monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.

  CHAPTER THREE                                                                                        PAGE 17

  DISCUSSION
  An event is any observable occurrence in a system, which includes unlawful or unauthorized
  system activity. Organizations identify event types for which a logging functionality is needed as
  those events which are significant and relevant to the security of systems and the environments
  in which those systems operate to meet specific and ongoing auditing needs. Event types can
  include password changes, failed logons or failed accesses related to systems, administrative
  privilege usage, or third-party credential usage. In determining event types that require logging,
  organizations consider the monitoring and auditing appropriate for each of the CUI security
  requirements. Monitoring and auditing requirements can be balanced with other system needs.
  For example, organizations may determine that systems must have the capability to log every file
  access both successful and unsuccessful, but not activate that capability except for specific
  circumstances due to the potential burden on system performance.
  Audit records can be generated at various levels of abstraction, including at the packet level as

This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-171r2
  information traverses the network. Selecting the appropriate level of abstraction is a critical aspect
  of an audit logging capability and can facilitate the identification of root causes to problems.
  Organizations consider in the definition of event types, the logging necessary to cover related
  events such as the steps in distributed, transaction-based processes (e.g., processes that are
  distributed across multiple organizations) and actions that occur in service-oriented or cloud-
  based architectures.
  Audit record content that may be necessary to satisfy this requirement includes time stamps,
  source and destination addresses, user or process identifiers, event descriptions, success or fail
  indications, filenames involved, and access control or flow control rules invoked. Event outcomes
  can include indicators of event success or failure and event-specific results (e.g., the security state
  of the system after the event occurred).
  Detailed information that organizations may consider in audit records includes full text recording
  of privileged commands or the individual identities of group account users. Organizations consider
  limiting the additional audit log information to only that information explicitly needed for specific
  audit requirements. This facilitates the use of audit trails and audit logs by not including
  information that could potentially be misleading or could make it more difficult to locate
  information of interest. Audit logs are reviewed and analyzed as often as needed to provide
  important information to organizations to facilitate risk-based decision making.
  [SP 800-92] provides guidance on security log management.",NIST_SP_800-171_r2.pdf,03.03.01,"03.03.01 Event Logging
  a. Specify the following event types selected for logging within the system:
  [Assignment: organization-defined event types].
  b. Review and update the event types selected for logging [Assignment:
  organization-defined frequency].

  DISCUSSION
  An event is any observable occurrence in a system, including unlawful or
  unauthorized system activity. Organizations identify event types for which a logging
  functionality is needed. This includes events that are relevant to the security of
  systems and the environments in which those systems operate to meet specific and
  ongoing auditing needs. Event types can include password changes, the execution of
  privileged functions, failed logons or accesses related to systems, administrative
  privilege usage, or third-party credential usage. In determining event types that
  require logging, organizations consider the system monitoring and auditing that are
  appropriate for each of the security requirements. When defining event types,
  organizations consider the logging necessary to cover related events, such as the

  21

NIST SP 800-171r3                                           Protecting Controlled Unclassified Information
May 2024

  steps in distributed, transaction-based processes (e.g., processes that are distributed
  across multiple organizations) and actions that occur in service-oriented or cloud-
  based architectures.

  Monitoring and auditing requirements can be balanced with other system needs. For
  example, organizations may determine that systems must have the capability to log
  every file access — both successful and unsuccessful — but only activate that
  capability under specific circumstances due to the potential burden on system
  performance. The event types that are logged by organizations may change over
  time. Reviewing and updating the set of logged event types are necessary to ensure
  that the current set of event types remains relevant.

  REFERENCES
  Sou",lliam_gov/security/audit_logger.py,evidence/phase3/smoke-20260610T004426Z/04-audit-end.txt,ISO 27001 A.8.15; ISO 42001 Clause 7.5/9.1,evidence_captured," | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.3.2,SP 800-171 Rev. 2,"3.3.2   Ensure that the actions of individual system users can be uniquely traced to those users, so
  they can be held accountable for their actions.

  DISCUSSION
  This requirement ensures that the contents of the audit record include the information needed to
  link the audit event to the actions of an individual to the extent feasible. Organizations consider
  logging for traceability including results from monitoring of account usage, remote access, wireless
  connectivity, mobile device connection, communications at system boundaries, configuration
  settings, physical access, nonlocal maintenance, use of maintenance tools, temperature and
  humidity, equipment delivery and removal, system component inventory, use of mobile code, and
  use of Voice over Internet Protocol (VoIP).

  Derived Security Requirements",NIST_SP_800-171_r2.pdf,03.03.02,"03.03.02 Audit Record Content
  a. Include the following content in audit records:
  1. What type of event occurred
  2. When the event occurred
  3. Where the event occurred
  4. Source of the event
  5. Outcome of the event
  6. Identity of the individuals, subjects, objects, or entities associated with the
  event
  b. Provide additional information for audit records as needed.

  DISCUSSION
  Audit record content that may be necessary to support the auditing function
  includes time stamps, source and destination addresses, user or process identifiers,
  event descriptions, file names, and the access control or flow control rules that are
  invoked. Event outcomes can include indicators of event success or failure and
  event-specific results (e.g., the security state of the system after the event
  occurred). Detailed information that organizations consider in audit records may
  include a full text recording of privileged commands or the individual identities of
  group account users.

  22

NIST SP 800-171r3                                          Protecting Controlled Unclassified Information
May 2024

  REFERENCES
  Source Controls: AU-03, AU-03(01)
  Supporting Publications: None",lliam_gov/security/audit_logger.py (principal field on every entry),evidence/phase3/smoke-20260610T004426Z/aep-export-20260611T011755Z.json,ISO 27001 A.8.15,evidence_captured," | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.3.4,SP 800-171 Rev. 2,"3.3.4   Alert in the event of an audit logging process failure.

  DISCUSSION
  Audit logging process failures include software and hardware errors, failures in the audit record
  capturing mechanisms, and audit record storage capacity being reached or exceeded. This
  requirement applies to each audit record data storage repository (i.e., distinct system component
  where audit records are stored), the total audit record storage capacity of organizations (i.e., all

This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-171r2
  audit record data storage repositories combined), or both.",NIST_SP_800-171_r2.pdf,03.03.04,"03.03.04 Response to Audit Logging Process Failures
  a. Alert organizational personnel or roles within [Assignment: organization-defined
  time period] in the event of an audit logging process failure.
  b. Take the following additional actions: [Assignment: organization-defined
  additional actions].

  DISCUSSION
  Audit logging process failures include software and hardware errors, failures in audit
  log capturing mechanisms, and reaching or exceeding audit log storage capacity.
  Response actions include overwriting the oldest audit records, shutting down the
  system, and stopping the generation of audit records. Organizations may choose to
  define additional actions for audit logging process failures based on the type of
  failure, the location of the failure, the severity of the failure, or a combination of

  23

NIST SP 800-171r3                                           Protecting Controlled Unclassified Information
May 2024

  such factors. When the audit logging process failure is related to storage, the
  response is carried out for the audit log storage repository (i.e., the distinct system
  component where the audit logs are stored), the system on which the audit logs
  reside, the total audit log storage capacity of the organization (i.e., all audit log
  storage repositories combined), or all three. Organizations may decide to take no
  additional actions after alerting designated roles or personnel.

  REFERENCES
  Source Control: AU-05
  Supporting Publications: None",lliam_gov/security/audit_logger.py fail-closed branch,evidence/phase3/smoke-20260610T004426Z/07-audit-fail-closed-test.txt,ISO 27001 A.8.16,evidence_captured," | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.3.8,SP 800-171 Rev. 2,"3.3.8   Protect audit information and audit logging tools from unauthorized access, modification, and
  deletion.

  DISCUSSION
  Audit information includes all information (e.g., audit records, audit log settings, and audit reports)
  needed to successfully audit system activity. Audit logging tools are those programs and devices
  used to conduct audit and logging activities. This requirement focuses on the technical protection
  of audit information and limits the ability to access and execute audit logging tools to authorized
  individuals. Physical protection of audit information is addressed by media protection and physical
  and environmental protection requirements.",NIST_SP_800-171_r2.pdf,03.03.08,"03.03.08 Protection of Audit Information
  a. Protect audit information and audit logging tools from unauthorized access,
  modification, and deletion.
  b. Authorize access to management of audit logging functionality to only a subset
  of privileged users or roles.

  DISCUSSION
  Audit information includes the information needed to successfully audit system
  activity, such as audit records, audit log settings, audit reports, and personally
  identifiable information. Audit logging tools are programs and devices used to
  conduct audit and logging activities. The protection of audit information focuses on
  technical protection and limits the ability to access and execute audit logging tools
  to authorized individuals. The physical protection of audit information is addressed
  by media and physical protection requirements.

  Individuals or roles with privileged access to a system and who are also the subject
  of an audit by that system may affect the reliability of the audit information by
  inhibiting audit activities or modifying audit records. Requiring privileged access to
  be further defined between audit-related privileges and other privileges limits the
  number of users or roles with audit-related privileges.

  REFERENCES
  Source Controls: AU-09, AU-09(04)
  Supporting Publications: None","lliam_gov/security/audit_logger.py (mode 0600, hash-chained)",evidence/phase3/smoke-20260610T004426Z/05-aep-export.txt,ISO 27001 A.8.15,evidence_captured," | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.3.9,SP 800-171 Rev. 2,"3.3.9   Limit management of audit logging functionality to a subset of privileged users.

  DISCUSSION

This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-171r2
  Individuals with privileged access to a system and who are also the subject of an audit by that
  system, may affect the reliability of audit information by inhibiting audit logging activities or
  modifying audit records. This requirement specifies that privileged access be further defined
  between audit-related privileges and other privileges, thus limiting the users with audit-related
  privileges.",NIST_SP_800-171_r2.pdf,03.03.09,"03.03.09 Withdrawn
  Incorporated into 03.03.08.

3.4. Configuration Management

03.04.01 Baseline Configuration
  a. Develop and maintain under configuration control, a current baseline
  configuration of the system.

  26

NIST SP 800-171r3                                          Protecting Controlled Unclassified Information
May 2024

  b. Review and update the baseline configuration of the system [Assignment:
  organization-defined frequency] and when system components are installed or
  modified.

  DISCUSSION
  Baseline configurations for the system and system components include aspects of
  connectivity, operation, and communications. Baseline configurations are
  documented, formally reviewed, and agreed-upon specifications for the system or
  configuration items within the system. Baseline configurations serve as a basis for
  future builds, releases, or changes to the system and include information about
  system components, operational procedures, network topology, and the placement
  of components in the system architecture. Maintaining baseline configurations
  requires creating new baselines as the system changes over time. Baseline
  configurations of the system reflect the current enterprise architecture.

  REFERENCES
  Source Control: CM-02
  Supporting Publications: SP 800-124 [28], SP 800-128 [41], IR 8011-2 [42], IR 8011-3
  [43]

03.04.02 Configuration Settings
  a. Establish, document, and implement the following configuration settings for the
  system that reflect the most restrictive mode consistent with operational
  requirements: [Assignment: organization-defined configuration settings].
  b. Identify, document, and approve any deviations from established configuration
  settings.

  DISCUSSION
  Configuration settings are the set of parameters that can be changed in hardware,
  software, or firmware components of the system and that affect the security
  posture or functionality of the system. Security-related configuration settings can ",lliam-gov audit / rotate-key CLI ACL,evidence/audit/privileged-acl-test.txt,ISO 27001 A.8.5,evidence_captured,"Audit and rotate-key CLIs gated by require_privileged_user(): effective uid must own the Lliam home; LLIAM_GOV_PRIVILEGED_USERS optionally narrows further; fail-closed on missing home/non-POSIX; root gets no bypass (AI-280). | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
SP800-171_3.4.6,SP 800-171 Rev. 2,"3.4.6   Employ the principle of least functionality by configuring organizational systems to provide
  only essential capabilities.

  DISCUSSION
  Systems can provide a wide variety of functions and services. Some of the functions and services
  routinely provided by default, may not be necessary to support essential organizational missions,
  functions, or operations. It is sometimes convenient to provide multiple services from single
  system components. However, doing so increases risk over limiting the services provided by any
  one component. Where feasible, organizations limit component functionality to a single function
  per component.
  Organizations review functions and services provided by systems or components of systems, to
  determine which functions and services are candidates for elimination. Organizations disable
  unused or unnecessary physical and logical ports and protocols to prevent unauthorized
  connection of devices, transfer of information, and tunneling. Organizations can utilize network
  scanning tools, intrusion detection and prevention systems, and end-point protections such as
  firewalls and host-based intrusion detection systems to identify and prevent the use of prohibited
  functions, ports, protocols, and services.",NIST_SP_800-171_r2.pdf,03.04.06,"03.04.06 Least Functionality
  a. Configure the system to provide only mission-essential capabilities.
  b. Prohibit or restrict use of the following functions, ports, protocols, connections,
  and services: [Assignment: organization-defined functions, ports, protocols,
  connections, and services].
  c. Review the system [Assignment: organization-defined frequency] to identify
  unnecessary or nonsecure functions, ports, protocols, connections, and services.
  d. Disable or remove functions, ports, protocols, connections, and services that are
  unnecessary or nonsecure.

  DISCUSSION
  Systems can provide a variety of functions and services. Some functions and services
  that are routinely provided by default may not be necessary to support essential
  organizational missions, functions, or operations. It may be convenient to provide
  multiple services from single system components. However, doing so increases risk
  over limiting the services provided by any one component. Where feasible,
  organizations limit functionality to a single function per component.

  Organizations review the functions and services provided by the system or system
  components to determine which functions and services are candidates for
  elimination. Organizations disable unused or unnecessary physical and logical ports
  and protocols to prevent the unauthorized connection of devices, the transfer of
  information, and tunneling. Organizations can employ network scanning tools,
  intrusion detection and prevention systems, and endpoint protection systems (e.g.,
  firewalls and host-based intrusion detection systems) to identify and prevent the use
  of prohibited functions, ports, protocols, system connections, and services.
  Bluetooth, File Transfer Protocol (FTP), and peer-to-peer networking are examples of
  the types of protocols that organizations consider eliminating, restricting, or
  disabling.

  REFERENCES
  Source Controls: CM-07, CM-07(01)
  Supporting Publications: SP ","gateway/platforms/{slack,email,telegram}.py (other adapters deleted) + hermes_cli/web_server.py + hermes_cli/main.py (loopback-only)",evidence/phase1/noise-floor-2026-05-25.md,ISO 27001 A.8.20-A.8.23,evidence_captured," | RE-VERIFIED 2026-06-16 on clean Hermes v2026.6.5 (3c231eb) rebuild: overlay re-wired, tests/lliam_gov green as operator, phase5 chaos (fail-closed) + pentest (bypass-refused) captured."
